Invoice_ID,Client_Name,Industry,Region,City,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Total_Amount,Invoice_Date,Payment_Method,Sales_Rep,Status
INV100000,Summit Analytics,Finance,North,Chennai,Hardware,Workstation,45,66662.72,0.0,2999822.4,2024-02-01,Bank Transfer,Priya Sharma,Paid
INV100001,Orion Systems,IT,North,Bengaluru,Hardware,Server Rack,17,124701.37,0.0,2119923.29,2024-12-30,Credit,Rohit Gupta,Paid
INV100002,GreenGrid Inc,IT,South,Kolkata,Consultancy,IT Strategy,31,15178.51,0.0,470533.81,2023-05-11,UPI,Priya Sharma,Paid
INV100003,BlueWave Technologies,Logistics,East,Ahmedabad,Consultancy,Business Consulting,11,48552.12,0.0,534073.32,2024-07-18,Bank Transfer,Anita Rao,Paid
INV100004,Horizon Logistics,Logistics,South,Mumbai,Software,CRM Module,19,33237.85,0.0,631519.15,2024-02-05,Bank Transfer,Rohit Gupta,Pending
INV100005,Krypton Labs,Healthcare,West,Pune,Hardware,Networking Switch,28,38264.48,0.0,1071405.44,2024-01-01,UPI,Priya Sharma,Paid
INV100006,Dynatek Ltd,Manufacturing,South,Jaipur,Maintenance,Onsite Support,5,33184.98,0.0,165924.9,2025-09-21,Cheque,Karan Mehra,Pending
INV100007,WestBridge Group,IT,South,Hyderabad,Consultancy,IT Strategy,32,3901.29,0.0,124841.28,2023-11-11,Cheque,Karan Mehra,Paid
INV100008,Nexus Partners,Telecom,West,Delhi,Consultancy,Business Consulting,10,1536.78,0.0,15367.8,2025-06-27,UPI,Anita Rao,Pending
INV100009,Krypton Labs,Logistics,South,Delhi,Cloud Services,SaaS Subscription,32,73987.49,0.0,2367599.68,2021-05-02,Bank Transfer,Priya Sharma,Paid
INV100010,Dynatek Ltd,Telecom,North,Kolkata,Maintenance,Remote Support,8,38576.55,0.0,308612.4,2022-04-12,UPI,Syed Ahmed,Paid
INV100011,BlueWave Technologies,Healthcare,East,Mumbai,Consultancy,IT Strategy,25,48811.55,0.0,1220288.75,2024-05-23,Bank Transfer,Neha Singh,Overdue
INV100012,WestBridge Group,Retail,North,Chennai,Licenses,User License Pack,15,10681.52,0.0,160222.8,2021-11-27,Cheque,Karan Mehra,Paid
INV100013,Pillar Manufacturing,IT,East,Jaipur,Software,ERP Suite,49,13142.97,0.0,644005.53,2025-01-22,UPI,Rohit Gupta,Paid
INV100014,Quantum Retailers,Finance,North,Jaipur,Software,CRM Module,4,38844.37,0.0,155377.48,2021-03-29,Credit,Aman Verma,Paid
INV100015,Ridgeway LLC,Telecom,South,Lucknow,Licenses,User License Pack,41,48011.41,0.0,1968467.81,2024-10-28,UPI,Anita Rao,Overdue
INV100016,Summit Analytics,Logistics,West,Lucknow,Maintenance,Annual Maintenance Contract,50,16449.67,0.0,822483.5,2024-01-29,Bank Transfer,Karan Mehra,Paid
INV100017,Pillar Manufacturing,Manufacturing,South,Hyderabad,Software,ERP Suite,36,14994.69,0.0,539808.84,2023-05-22,Bank Transfer,Karan Mehra,Paid
INV100018,FusionWorks,Healthcare,West,Bengaluru,Cloud Services,IaaS Package,40,13688.1,0.0,547524.0,2025-08-15,Credit,Rohit Gupta,Paid
INV100019,Lumina Consulting,Manufacturing,North,Mumbai,Licenses,Perpetual License,32,37529.62,0.0,1200947.84,2021-05-11,Credit,Vikram Das,Pending
INV100020,Orion Systems,Finance,North,Kolkata,Licenses,Perpetual License,32,31016.74,0.0,992535.68,2025-08-13,Bank Transfer,Rohit Gupta,Paid
INV100021,Pillar Manufacturing,Energy,South,Kolkata,Hardware,Networking Switch,34,13732.11,0.0,466891.74,2024-08-25,Bank Transfer,Vikram Das,Pending
INV100022,Pillar Manufacturing,Finance,North,Lucknow,Software,ERP Suite,40,30127.31,0.0,1205092.4,2023-02-09,Cheque,Aman Verma,Paid
INV100023,Nexus Partners,Manufacturing,West,Hyderabad,Hardware,Storage Array,9,40647.22,42403.05,323421.93,2021-12-10,Credit,Neha Singh,Overdue
INV100024,Metro Trade Co,Healthcare,West,Lucknow,Licenses,User License Pack,25,8602.35,0.0,215058.75,2025-02-24,Cheque,Neha Singh,Paid
INV100025,Orion Systems,IT,East,Hyderabad,Software,Billing Software,30,46451.72,0.0,1393551.6,2024-12-08,Cheque,Syed Ahmed,Overdue
INV100026,Apex Solutions,Retail,North,Ahmedabad,Software,CRM Module,44,10274.79,0.0,452090.76,2023-03-17,Cheque,Syed Ahmed,Paid
INV100027,Lumina Consulting,Logistics,East,Bengaluru,Licenses,User License Pack,46,1129.39,0.0,51951.94,2022-01-21,UPI,Anita Rao,Paid
INV100028,Summit Analytics,Healthcare,West,Pune,Software,ERP Suite,21,14652.39,0.0,307700.19,2024-04-30,Bank Transfer,Priya Sharma,Paid
INV100029,Optima Financials,Healthcare,South,Pune,Software,CRM Module,32,16187.66,0.0,518005.12,2023-08-14,Cheque,Vikram Das,Pending
INV100030,Urbane Systems,Healthcare,North,Lucknow,Consultancy,Process Optimization,39,42402.46,0.0,1653695.94,2021-10-04,Cheque,Neha Singh,Paid
INV100031,BlueWave Technologies,Retail,East,Chennai,Cloud Services,IaaS Package,41,67313.24,0.0,2759842.84,2024-03-30,Cheque,Neha Singh,Paid
INV100032,GreenGrid Inc,IT,North,Kolkata,Consultancy,Business Consulting,21,48930.67,166697.23,860846.84,2022-04-05,Cheque,Neha Singh,Paid
INV100033,Metro Trade Co,Telecom,North,Mumbai,Software,CRM Module,46,38934.15,0.0,1790970.9,2024-08-30,UPI,Aman Verma,Paid
INV100034,Orion Systems,Healthcare,East,Hyderabad,Consultancy,Business Consulting,44,3165.98,0.0,139303.12,2021-01-22,Bank Transfer,Karan Mehra,Paid
INV100035,Lumina Consulting,Retail,South,Delhi,Hardware,Storage Array,22,71938.28,207220.77,1375421.39,2021-09-10,UPI,Anita Rao,Pending
INV100036,Vanguard Imports,Manufacturing,East,Delhi,Licenses,License Renewal,13,8658.33,0.0,112558.29,2023-01-18,Bank Transfer,Vikram Das,Paid
INV100037,Metro Trade Co,Logistics,East,Bengaluru,Hardware,Server Rack,29,56376.98,0.0,1634932.42,2023-05-07,Credit,Karan Mehra,Paid
INV100038,Apex Solutions,Healthcare,East,Lucknow,Maintenance,Remote Support,50,11068.81,0.0,553440.5,2025-05-04,UPI,Syed Ahmed,Paid
INV100039,GreenGrid Inc,Retail,East,Hyderabad,Software,Billing Software,23,42114.8,0.0,968640.4,2022-04-20,UPI,Anita Rao,Paid
INV100040,Optima Financials,Finance,West,Ahmedabad,Hardware,Networking Switch,13,55288.18,116087.29,602659.05,2023-12-19,Credit,Syed Ahmed,Paid
INV100041,Pillar Manufacturing,Manufacturing,East,Kolkata,Software,Analytics Tool,3,15228.65,0.0,45685.95,2022-05-26,Bank Transfer,Neha Singh,Paid
INV100042,TruTech Solutions,Telecom,East,Kolkata,Licenses,Perpetual License,19,8002.68,0.0,152050.92,2025-09-02,Cheque,Anita Rao,Paid
INV100043,Krypton Labs,Retail,East,Kolkata,Cloud Services,IaaS Package,30,107331.26,0.0,3219937.8,2025-02-08,Cheque,Anita Rao,Paid
INV100044,Ridgeway LLC,Logistics,West,Jaipur,Maintenance,Remote Support,37,8423.55,0.0,311671.35,2022-12-01,Credit,Aman Verma,Paid
INV100045,Horizon Logistics,Logistics,North,Bengaluru,Licenses,Perpetual License,42,28123.1,0.0,1181170.2,2023-09-03,Cheque,Aman Verma,Paid
INV100046,FusionWorks,Energy,North,Jaipur,Maintenance,Remote Support,8,12710.6,0.0,101684.8,2025-12-12,Credit,Vikram Das,Paid
INV100047,Crestline Corp,IT,North,Kolkata,Hardware,Workstation,5,84594.2,0.0,422971.0,2021-07-09,Credit,Syed Ahmed,Paid
INV100048,BlueWave Technologies,Energy,South,Jaipur,Licenses,User License Pack,35,20373.97,0.0,713088.95,2023-08-16,UPI,Vikram Das,Paid
INV100049,Vanguard Imports,Telecom,West,Delhi,Licenses,Perpetual License,42,33049.24,0.0,1388068.08,2022-11-18,Cheque,Neha Singh,Paid
INV100050,Optima Financials,Energy,South,Chennai,Maintenance,Annual Maintenance Contract,25,27976.7,0.0,699417.5,2023-08-16,Cheque,Neha Singh,Paid
INV100051,Pillar Manufacturing,Finance,South,Delhi,Hardware,Storage Array,46,55227.61,0.0,2540470.06,2022-07-17,Cheque,Priya Sharma,Paid
INV100052,Innova Services,Energy,West,Hyderabad,Hardware,Storage Array,41,44026.78,0.0,1805097.98,2025-05-10,Bank Transfer,Anita Rao,Paid
INV100053,JetStream Holdings,Healthcare,West,Kolkata,Cloud Services,Managed Cloud,36,2004.54,0.0,72163.44,2024-06-21,Cheque,Vikram Das,Paid
INV100054,Lumina Consulting,Energy,North,Kolkata,Consultancy,Process Optimization,12,37413.82,0.0,448965.84,2023-04-12,Credit,Aman Verma,Pending
INV100055,Crestline Corp,IT,West,Ahmedabad,Cloud Services,Managed Cloud,14,99195.94,210751.25,1177991.91,2025-03-09,Credit,Aman Verma,Pending
INV100056,Dynatek Ltd,IT,East,Kolkata,Consultancy,Business Consulting,16,7869.96,0.0,125919.36,2024-02-29,UPI,Anita Rao,Paid
INV100057,Lumina Consulting,Healthcare,North,Jaipur,Software,ERP Suite,6,43894.21,0.0,263365.26,2025-02-17,UPI,Rohit Gupta,Paid
INV100058,WestBridge Group,IT,North,Bengaluru,Hardware,Server Rack,37,13867.65,0.0,513103.05,2022-10-09,Cheque,Aman Verma,Paid
INV100059,BlueWave Technologies,Manufacturing,West,Chennai,Consultancy,Business Consulting,4,36242.51,0.0,144970.04,2021-01-21,Bank Transfer,Aman Verma,Overdue
INV100060,BlueWave Technologies,IT,East,Ahmedabad,Licenses,Perpetual License,24,11251.85,0.0,270044.4,2023-04-21,Cheque,Priya Sharma,Paid
INV100061,Summit Analytics,Manufacturing,North,Chennai,Licenses,User License Pack,26,19880.52,0.0,516893.52,2021-06-16,Bank Transfer,Karan Mehra,Paid
INV100062,TruTech Solutions,Logistics,North,Lucknow,Licenses,Perpetual License,21,593.05,955.92,11498.13,2024-07-21,Credit,Vikram Das,Paid
INV100063,JetStream Holdings,Energy,South,Kolkata,Hardware,Networking Switch,10,63375.4,0.0,633754.0,2022-01-23,Credit,Vikram Das,Paid
INV100064,Vanguard Imports,Healthcare,East,Bengaluru,Software,Analytics Tool,45,5103.04,0.0,229636.8,2022-08-24,Cheque,Vikram Das,Paid
INV100065,TruTech Solutions,Telecom,East,Hyderabad,Maintenance,Onsite Support,7,24308.16,0.0,170157.12,2021-11-12,Cheque,Karan Mehra,Paid
INV100066,Innova Services,Healthcare,East,Lucknow,Software,CRM Module,14,36308.54,0.0,508319.56,2021-01-14,Credit,Vikram Das,Paid
INV100067,FusionWorks,Energy,West,Jaipur,Software,ERP Suite,37,29209.2,0.0,1080740.4,2021-08-30,Credit,Rohit Gupta,Paid
INV100068,Quantum Retailers,Logistics,West,Lucknow,Cloud Services,SaaS Subscription,4,6943.45,0.0,27773.8,2023-02-16,UPI,Karan Mehra,Paid
INV100069,GreenGrid Inc,Healthcare,East,Bengaluru,Software,CRM Module,30,40346.96,0.0,1210408.8,2024-10-01,Cheque,Rohit Gupta,Paid
INV100070,Nexus Partners,Healthcare,East,Mumbai,Hardware,Networking Switch,31,3242.81,0.0,100527.11,2022-07-19,Cheque,Neha Singh,Paid
INV100071,Pillar Manufacturing,Retail,East,Hyderabad,Software,Analytics Tool,46,7875.49,0.0,362272.54,2023-06-17,Cheque,Vikram Das,Paid
INV100072,TechNova Pvt Ltd,Healthcare,West,Jaipur,Maintenance,Onsite Support,24,17044.8,0.0,409075.2,2024-09-25,Bank Transfer,Neha Singh,Overdue
INV100073,Nexus Partners,Finance,North,Kolkata,Maintenance,Annual Maintenance Contract,30,49107.47,0.0,1473224.1,2021-04-02,Bank Transfer,Aman Verma,Paid
INV100074,Quantum Retailers,Healthcare,North,Bengaluru,Software,Billing Software,31,41343.97,0.0,1281663.07,2024-10-22,Cheque,Anita Rao,Paid
INV100075,Metro Trade Co,Healthcare,West,Chennai,Cloud Services,Managed Cloud,19,38364.82,72331.09,656600.49,2023-08-14,Bank Transfer,Rohit Gupta,Paid
INV100076,GreenGrid Inc,Finance,South,Bengaluru,Hardware,Server Rack,33,8945.35,0.0,295196.55,2025-01-18,Credit,Vikram Das,Paid
INV100077,Nexus Partners,Healthcare,North,Bengaluru,Consultancy,Process Optimization,28,36915.32,0.0,1033628.96,2024-12-22,Credit,Priya Sharma,Paid
INV100078,GreenGrid Inc,Manufacturing,West,Mumbai,Cloud Services,IaaS Package,11,71756.53,0.0,789321.83,2022-05-24,UPI,Aman Verma,Paid
INV100079,Dynatek Ltd,Healthcare,East,Jaipur,Software,Billing Software,33,21351.78,0.0,704608.74,2023-02-15,Credit,Neha Singh,Paid
INV100080,Nexus Partners,Energy,North,Ahmedabad,Software,Billing Software,4,25060.24,0.0,100240.96,2021-02-04,UPI,Syed Ahmed,Paid
INV100081,TruTech Solutions,IT,East,Ahmedabad,Software,CRM Module,47,6357.64,0.0,298809.08,2021-07-25,Credit,Neha Singh,Paid
INV100082,Quantum Retailers,Telecom,West,Mumbai,Maintenance,Onsite Support,6,49560.76,0.0,297364.56,2024-01-10,UPI,Priya Sharma,Pending
INV100083,Innova Services,Telecom,West,Chennai,Licenses,Perpetual License,11,37129.33,0.0,408422.63,2025-05-05,Bank Transfer,Vikram Das,Paid
INV100084,GreenGrid Inc,Logistics,North,Kolkata,Cloud Services,IaaS Package,26,52581.12,0.0,1367109.12,2024-11-12,Credit,Anita Rao,Paid
INV100085,Optima Financials,Logistics,West,Jaipur,Software,CRM Module,10,17058.31,0.0,170583.1,2023-10-23,Cheque,Neha Singh,Paid
INV100086,Urbane Systems,Energy,North,Hyderabad,Licenses,User License Pack,13,35162.47,0.0,457112.11,2023-10-19,Cheque,Neha Singh,Paid
INV100087,Pillar Manufacturing,Telecom,North,Bengaluru,Software,Billing Software,30,41669.0,0.0,1250070.0,2024-11-14,Cheque,Vikram Das,Overdue
INV100088,Horizon Logistics,Healthcare,West,Jaipur,Maintenance,Annual Maintenance Contract,45,35034.7,0.0,1576561.5,2022-07-20,Cheque,Anita Rao,Paid
